To Author,Tweet_ID,Created_at,Tweet
bensemchee,1514972596915216388,2022-04-15 14:23:08+00:00,"@bensemchee As long as the general public sees #Bitcoin as an investment, btc will probably flow with general markets"
bensemchee,1514940534225260546,2022-04-15 12:15:44+00:00,"@bensemchee Hey Bro Check $SCAN on @CoinScanDeFi! Fastest and Safety chart and shows pending buy/sells! 
Visit: https://t.co/fKRxU39hj9 to see the platform 

#Defi #btc #ETH #Bitcoin https://t.co/JlinEntplp"
bensemchee,1514333390803279887,2022-04-13 20:03:09+00:00,"@bensemchee Case For Silver - #Silver #Gold #Platinum #Uranium
@Caseforsilver
·
17h
If #Bitcoin disappears tomorrow morning: ZERO Impact on the world!

If #Silver disappears tomorrow morning: The modern world stops!  

This is one of the ways I define “Real” assets!"
