To Author,Tweet_ID,Created_at,Tweet
saylor,1516163723144183812,2022-04-18 21:16:15+00:00,@saylor Bitcoin will be main currency.
saylor,1516163232582545422,2022-04-18 21:14:18+00:00,"@saylor If everyone's against something when they first hear it...it might be as ridiculous as it sounds...There's nothing patentable about #Bitcoin the knock-offs can be infinite.  Blockchain will have future implications, but which ones and more importantly what role will they serve."
saylor,1516162835877081089,2022-04-18 21:12:43+00:00,@saylor join us for btc dubai conference https://t.co/EynBq1iRMn
saylor,1516162431403409422,2022-04-18 21:11:07+00:00,"@saylor I am so much bullish on this project Pandagirl Check them out. alot of persons are bullish on the project and their NFt minting is coming live on 04/29 don't miss this opportunity guys
#Giveaways 
#pandagirl
#pandagirltoken
#nft
#nftart 
#btc
#ADA"
saylor,1516162360448274434,2022-04-18 21:10:50+00:00,"@saylor Against domination and injustice from the  greedy few on the expensive of  the many   , humans were created by Almighty free  to manage  their money  it called property  and I think bitcoin  goes in line  with that ."
saylor,1516161960244441090,2022-04-18 21:09:14+00:00,"@saylor CHECK OUT THIS CRYPTO GAMES IN PLAYSTORE
👇📢📢👇
KRYPTONEUM CANDY DIAMONDS
https://t.co/HvXefji60Y
BITCOINRIPPLE MONSTER
https://t.co/3iFK0uul3b
CRYPTO MILLION RACE
https://t.co/BfgFzunItD
CARDANO TOKEN 3D GAME
https://t.co/hymWiAPll0
Moshi Fruts Survive
https://t.co/22yYxAgvLR https://t.co/QYQqSJRIGz"
saylor,1516161831383011332,2022-04-18 21:08:44+00:00,"@saylor I'm bullish on the Pandagirl  been following up on the project and I love how the team works, their NFT minting would be live on 04/29, you can't afford to miss this for anything

@pandagirltoken #pandagirl #nft #nftart #giveaway #BTC     #ADA #ETH #SHIB #babydoge"
saylor,1516161224488062976,2022-04-18 21:06:19+00:00,"@saylor For bitcoin to succeed as it was intended it needs to get off exchanges and into peoples hands. Unfortunately the greed of traders has taken over bitcoin, so it’s true potential will never be realized."
saylor,1516160330073792520,2022-04-18 21:02:46+00:00,"@saylor Do not just depend on your salary, with your phone you can work online and end up with a lot more than you ever imagined at a rate which isn't as difficult as your job. Bitcoin is the Present and Future Currency, Don't be left behind. I am just a DM away.
 https://t.co/1W6A0SVmEB"
saylor,1516160260868026372,2022-04-18 21:02:29+00:00,"@saylor Do not just depend on your salary, with your phone you can work online and end up with a lot more than you ever imagined at a rate which isn't as difficult as your job. Bitcoin is the Present and Future Currency, Don't be left behind. I am just a DM away.
 https://t.co/1W6A0SVUu9"
saylor,1516160136930369537,2022-04-18 21:02:00+00:00,"@saylor @lexfridman Do not just depend on your salary, with your phone you can work online and end up with a lot more than you ever imagined at a rate which isn't as difficult as your job. Bitcoin is the Present and Future Currency, Don't be left behind. I am just a DM away.
 https://t.co/1W6A0SVmEB"
saylor,1516160060346486787,2022-04-18 21:01:41+00:00,"@saylor Do not just depend on your salary, with your phone you can work online and end up with a lot more than you ever imagined at a rate which isn't as difficult as your job. Bitcoin is the Present and Future Currency, Don't be left behind. I am just a DM away.
 https://t.co/1W6A0SVmEB"
saylor,1516160015337496580,2022-04-18 21:01:31+00:00,"@saylor Do not just depend on your salary, with your phone you can work online and end up with a lot more than you ever imagined at a rate which isn't as difficult as your job. Bitcoin is the Present and Future Currency, Don't be left behind. I am just a DM away.
 https://t.co/1W6A0SVmEB"
