To Author,Tweet_ID,Created_at,Tweet
BitcoinBroski,1514553989920079883,2022-04-14 10:39:44+00:00,"@BitcoinBroski For true democracy, bitcoin miners should stop dumping. I offer 20m to buy mining compass &amp; change that."
BitcoinBroski,1514257239393153024,2022-04-13 15:00:34+00:00,"@BitcoinBroski:

Dan &amp; Josh here from Blue Collar #Bitcoin Pod. Appreciated ur comments @TheBitcoinConf!

If u ever have a free hr in 2022, we'd love to pick ur brain on our show regarding decentralization of mining, #BTC and energy, and what ur up to @compass_mining."
